year,periodName,value,month_year,state_code
2019,December,2247379.0,2019-12-01,1
2019,November,2249775.0,2019-11-01,1
2019,October,2252789.0,2019-10-01,1
2019,September,2237761.0,2019-09-01,1
2019,August,2235642.0,2019-08-01,1
2019,July,2245474.0,2019-07-01,1
2019,June,2246030.0,2019-06-01,1
2019,May,2232314.0,2019-05-01,1
2019,April,2235992.0,2019-04-01,1
2019,March,2246183.0,2019-03-01,1
2019,February,2243685.0,2019-02-01,1
2019,January,2227943.0,2019-01-01,1
2018,December,2230835.0,2018-12-01,1
2018,November,2233364.0,2018-11-01,1
2018,October,2234434.0,2018-10-01,1
2018,September,2212167.0,2018-09-01,1
2018,August,2208121.0,2018-08-01,1
2018,July,2230246.0,2018-07-01,1
2018,June,2234393.0,2018-06-01,1
2018,May,2211911.0,2018-05-01,1
2018,April,2209802.0,2018-04-01,1
2018,March,2211420.0,2018-03-01,1
2018,February,2205758.0,2018-02-01,1
2018,January,2177072.0,2018-01-01,1
2017,December,2182191.0,2017-12-01,1
2017,November,2188278.0,2017-11-01,1
2017,October,2190080.0,2017-10-01,1
2017,September,2185735.0,2017-09-01,1
2017,August,2176524.0,2017-08-01,1
2017,July,2190528.0,2017-07-01,1
2017,June,2195451.0,2017-06-01,1
2017,May,2179809.0,2017-05-01,1
2017,April,2188347.0,2017-04-01,1
2017,March,2195582.0,2017-03-01,1
2017,February,2191776.0,2017-02-01,1
2017,January,2178126.0,2017-01-01,1
2016,December,2181981.0,2016-12-01,1
2016,November,2190119.0,2016-11-01,1
2016,October,2198074.0,2016-10-01,1
2016,September,2185473.0,2016-09-01,1
2016,August,2178530.0,2016-08-01,1
2016,July,2186849.0,2016-07-01,1
2016,June,2191910.0,2016-06-01,1
2016,May,2178907.0,2016-05-01,1
2016,April,2179030.0,2016-04-01,1
2016,March,2183384.0,2016-03-01,1
2016,February,2177133.0,2016-02-01,1
2016,January,2159298.0,2016-01-01,1
2015,December,2164327.0,2015-12-01,1
2015,November,2163227.0,2015-11-01,1
2015,October,2165746.0,2015-10-01,1
2015,September,2148169.0,2015-09-01,1
2015,August,2157141.0,2015-08-01,1
2015,July,2169471.0,2015-07-01,1
2015,June,2179187.0,2015-06-01,1
2015,May,2174703.0,2015-05-01,1
2015,April,2164773.0,2015-04-01,1
2015,March,2156447.0,2015-03-01,1
2015,February,2153243.0,2015-02-01,1
2015,January,2141332.0,2015-01-01,1
2014,December,2143851.0,2014-12-01,1
2014,November,2156080.0,2014-11-01,1
2014,October,2165915.0,2014-10-01,1
2014,September,2146036.0,2014-09-01,1
2014,August,2149651.0,2014-08-01,1
2014,July,2168139.0,2014-07-01,1
2014,June,2178677.0,2014-06-01,1
2014,May,2164050.0,2014-05-01,1
2014,April,2159568.0,2014-04-01,1
2014,March,2174442.0,2014-03-01,1
2014,February,2168787.0,2014-02-01,1
2014,January,2154902.0,2014-01-01,1
2013,December,2159172.0,2013-12-01,1
2013,November,2166144.0,2013-11-01,1
2013,October,2161146.0,2013-10-01,1
2013,September,2169620.0,2013-09-01,1
2013,August,2169887.0,2013-08-01,1
2013,July,2184111.0,2013-07-01,1
2013,June,2193440.0,2013-06-01,1
2013,May,2178994.0,2013-05-01,1
2013,April,2170976.0,2013-04-01,1
2013,March,2174709.0,2013-03-01,1
2013,February,2182979.0,2013-02-01,1
2013,January,2176822.0,2013-01-01,1
2012,December,2172728.0,2012-12-01,1
2012,November,2172786.0,2012-11-01,1
2012,October,2190278.0,2012-10-01,1
2012,September,2172512.0,2012-09-01,1
2012,August,2177294.0,2012-08-01,1
2012,July,2195941.0,2012-07-01,1
2012,June,2203489.0,2012-06-01,1
2012,May,2178571.0,2012-05-01,1
2012,April,2163833.0,2012-04-01,1
2012,March,2171589.0,2012-03-01,1
2012,February,2165383.0,2012-02-01,1
2012,January,2151638.0,2012-01-01,1
2011,December,2176155.0,2011-12-01,1
2011,November,2183973.0,2011-11-01,1
2011,October,2200606.0,2011-10-01,1
2011,September,2201614.0,2011-09-01,1
2011,August,2202727.0,2011-08-01,1
2011,July,2213352.0,2011-07-01,1
2011,June,2221913.0,2011-06-01,1
2011,May,2205918.0,2011-05-01,1
2011,April,2204162.0,2011-04-01,1
2011,March,2206650.0,2011-03-01,1
2011,February,2204837.0,2011-02-01,1
2011,January,2210128.0,2011-01-01,1
2010,December,2213810.0,2010-12-01,1
2010,November,2224017.0,2010-11-01,1
2010,October,2220707.0,2010-10-01,1
2010,September,2206969.0,2010-09-01,1
2010,August,2212696.0,2010-08-01,1
2010,July,2216775.0,2010-07-01,1
2010,June,2229562.0,2010-06-01,1
2010,May,2213429.0,2010-05-01,1
2010,April,2206232.0,2010-04-01,1
2010,March,2137573.0,2010-03-01,1
2010,February,2135583.0,2010-02-01,1
2010,January,2135155.0,2010-01-01,1
2009,December,2137965.0,2009-12-01,1
2009,November,2148876.0,2009-11-01,1
2009,October,2158726.0,2009-10-01,1
2009,September,2146406.0,2009-09-01,1
2009,August,2166591.0,2009-08-01,1
2009,July,2178713.0,2009-07-01,1
2009,June,2189836.0,2009-06-01,1
2009,May,2164803.0,2009-05-01,1
2009,April,2162016.0,2009-04-01,1
2009,March,2166423.0,2009-03-01,1
2009,February,2171529.0,2009-02-01,1
2009,January,2164104.0,2009-01-01,1
2008,December,2173131.0,2008-12-01,1
2008,November,2175944.0,2008-11-01,1
2008,October,2185049.0,2008-10-01,1
2008,September,2169953.0,2008-09-01,1
2008,August,2180770.0,2008-08-01,1
2008,July,2192307.0,2008-07-01,1
2008,June,2195259.0,2008-06-01,1
2008,May,2174485.0,2008-05-01,1
2008,April,2162674.0,2008-04-01,1
2008,March,2170499.0,2008-03-01,1
2008,February,2167554.0,2008-02-01,1
2008,January,2170233.0,2008-01-01,1
2007,December,2189983.0,2007-12-01,1
2007,November,2192588.0,2007-11-01,1
2007,October,2181178.0,2007-10-01,1
2007,September,2174850.0,2007-09-01,1
2007,August,2170686.0,2007-08-01,1
2007,July,2182352.0,2007-07-01,1
2007,June,2184718.0,2007-06-01,1
2007,May,2158625.0,2007-05-01,1
2007,April,2156839.0,2007-04-01,1
2007,March,2176156.0,2007-03-01,1
2007,February,2170069.0,2007-02-01,1
2007,January,2169298.0,2007-01-01,1
2006,December,2189793.0,2006-12-01,1
2006,November,2185680.0,2006-11-01,1
2006,October,2182591.0,2006-10-01,1
2006,September,2166333.0,2006-09-01,1
2006,August,2175990.0,2006-08-01,1
2006,July,2181686.0,2006-07-01,1
2006,June,2182463.0,2006-06-01,1
2006,May,2152499.0,2006-05-01,1
2006,April,2150482.0,2006-04-01,1
2006,March,2153266.0,2006-03-01,1
2006,February,2150366.0,2006-02-01,1
2006,January,2142558.0,2006-01-01,1
2005,December,2163518.0,2005-12-01,1
2005,November,2165655.0,2005-11-01,1
2005,October,2170156.0,2005-10-01,1
2005,September,2148855.0,2005-09-01,1
2005,August,2150911.0,2005-08-01,1
2005,July,2153124.0,2005-07-01,1
